INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182070964,361,Robbery,ROBBERY - OTHER,B3,427,,2018-09-03 21:51:00,2018,9,Monday,21,Part One,FESSENDEN ST,42.27855984,-71.09199697,"(42.27855984, -71.09199697)"
I182070962,301,Robbery,ROBBERY - STREET,B3,427,,2018-09-03 23:06:00,2018,9,Monday,23,Part One,BLUE HILL AVE,42.27470119,-71.09344053,"(42.27470119, -71.09344053)"
I182070931,301,Robbery,ROBBERY - STREET,C6,177,,2018-09-03 20:48:00,2018,9,Monday,20,Part One,MASSACHUSETTS AVE,42.33152148,-71.07085307,"(42.33152148, -71.07085307)"
I182070795,301,Robbery,ROBBERY - STREET,C11,362,,2018-09-02 20:30:00,2018,9,Sunday,20,Part One,LYNDHURST ST,42.29290563,-71.06955795,"(42.29290563, -71.06955795)"
I182070741,301,Robbery,ROBBERY - STREET,D14,805,,2018-09-03 03:26:00,2018,9,Monday,3,Part One,PORTSMOUTH ST,42.36053257,-71.14426332,"(42.36053257, -71.14426332)"
I182070621,361,Robbery,ROBBERY - OTHER,A7,23,,2018-09-02 18:09:00,2018,9,Sunday,18,Part One,MARION ST,42.37725644,-71.03667354,"(42.37725644, -71.03667354)"
I182070598,311,Robbery,ROBBERY - COMMERCIAL,A15,60,,2018-09-02 17:15:00,2018,9,Sunday,17,Part One,RUTHERFORD AVE,42.37167264,-71.06326413,"(42.37167264, -71.06326413)"
I182070549,301,Robbery,ROBBERY - STREET,B2,282,,2018-09-02 07:00:00,2018,9,Sunday,7,Part One,WARREN ST,42.32823419,-71.08328981,"(42.32823419, -71.08328981)"
I182070342,381,Robbery,ROBBERY - CAR JACKING,E18,490,,2018-09-01 17:05:00,2018,9,Saturday,17,Part One,CUMMINS HWY,42.27645319,-71.11297971,"(42.27645319, -71.11297971)"
I182070168,301,Robbery,ROBBERY - STREET,A1,119,,2018-09-01 01:16:00,2018,9,Saturday,1,Part One,PARK ST,42.35650174,-71.0619996,"(42.35650174, -71.06199960)"
I182070095,301,Robbery,ROBBERY - STREET,B2,297,,2018-08-31 20:23:00,2018,8,Friday,20,Part One,DALE ST,42.32074773,-71.08179833,"(42.32074773, -71.08179833)"
I182070084,361,Robbery,ROBBERY - OTHER,B2,318,,2018-08-31 19:05:00,2018,8,Friday,19,Part One,HUMBOLDT AVE,42.31024899,-71.0918393,"(42.31024899, -71.09183930)"
I182069988,311,Robbery,ROBBERY - COMMERCIAL,C11,341,,2018-08-30 23:45:00,2018,8,Thursday,23,Part One,BOWDOIN ST,42.30609356,-71.0671857,"(42.30609356, -71.06718570)"
I182069846,301,Robbery,ROBBERY - STREET,A1,111,,2018-08-31 02:15:00,2018,8,Friday,2,Part One,WEST ST,42.35459106,-71.0621901,"(42.35459106, -71.06219010)"
I182069811,311,Robbery,ROBBERY - COMMERCIAL,C11,333,,2018-08-30 21:59:00,2018,8,Thursday,21,Part One,COLUMBIA RD,42.31069804,-71.07119068,"(42.31069804, -71.07119068)"
I182069796,311,Robbery,ROBBERY - COMMERCIAL,E18,525,,2018-08-30 20:14:00,2018,8,Thursday,20,Part One,NEPONSET VALLEY PKWY,42.23603929,-71.12718154,"(42.23603929, -71.12718154)"
I182069693,301,Robbery,ROBBERY - STREET,A1,74,,2018-08-30 15:24:00,2018,8,Thursday,15,Part One,BULFINCH PL,42.36219081,-71.06223802,"(42.36219081, -71.06223802)"
I182069687,301,Robbery,ROBBERY - STREET,B2,278,,2018-08-28 12:00:00,2018,8,Tuesday,12,Part One,HARRISON AVE,42.33153805,-71.08015661,"(42.33153805, -71.08015661)"
I182069534,311,Robbery,ROBBERY - COMMERCIAL,A15,59,,2018-08-30 03:52:00,2018,8,Thursday,3,Part One,MAIN ST,42.37515337,-71.06409893,"(42.37515337, -71.06409893)"
I182069112,301,Robbery,ROBBERY - STREET,B2,181,,2018-08-28 18:08:00,2018,8,Tuesday,18,Part One,KEMBLE ST,42.32695733,-71.07074008,"(42.32695733, -71.07074008)"
I182068875,301,Robbery,ROBBERY - STREET,B3,468,,2018-08-27 22:17:00,2018,8,Monday,22,Part One,HAZLETON ST,42.28152567,-71.09700335,"(42.28152567, -71.09700335)"
I182068697,301,Robbery,ROBBERY - STREET,E13,570,,2018-08-27 13:03:00,2018,8,Monday,13,Part One,FOREST HILLS ST,42.30492239,-71.10298073,"(42.30492239, -71.10298073)"
I182068553,381,Robbery,ROBBERY - CAR JACKING,E13,509,,2018-08-26 22:20:00,2018,8,Sunday,22,Part One,WOODLAWN ST,42.29860932,-71.11223703,"(42.29860932, -71.11223703)"
I182068493,301,Robbery,ROBBERY - STREET,A1,173,,2018-08-25 22:44:00,2018,8,Saturday,22,Part One,KNEELAND ST,42.34958657,-71.05735762,"(42.34958657, -71.05735762)"
I182068303,301,Robbery,ROBBERY - STREET,B3,426,,2018-08-26 01:52:00,2018,8,Sunday,1,Part One,RIVER ST,42.26956689,-71.09075049,"(42.26956689, -71.09075049)"
I182068263,371,Robbery,ROBBERY - HOME INVASION,E5,561,,2018-08-25 21:33:00,2018,8,Saturday,21,Part One,PALFREY ST,42.28496725,-71.12009416,"(42.28496725, -71.12009416)"
I182068259,301,Robbery,ROBBERY - STREET,D4,619,,2018-08-25 21:18:00,2018,8,Saturday,21,Part One,HUNTINGTON AVE,42.34221544,-71.08577075,"(42.34221544, -71.08577075)"
I182068200,311,Robbery,ROBBERY - COMMERCIAL,A1,75,,2018-08-25 16:19:00,2018,8,Saturday,16,Part One,CAUSEWAY ST,42.3649755,-71.062044,"(42.36497550, -71.06204400)"
I182068062,301,Robbery,ROBBERY - STREET,A1,111,,2018-08-25 03:00:00,2018,8,Saturday,3,Part One,AVENUE DE LAFAYETTE,42.35389258,-71.06214998,"(42.35389258, -71.06214998)"
I182067990,301,Robbery,ROBBERY - STREET,C11,359,,2018-08-24 20:48:00,2018,8,Friday,20,Part One,ALPHA RD,42.29624549,-71.0671598,"(42.29624549, -71.06715980)"
I182067854,361,Robbery,ROBBERY - OTHER,E13,906,,2018-08-24 14:28:00,2018,8,Friday,14,Part One,HEATH ST,42.32624204,-71.10317575,"(42.32624204, -71.10317575)"
I182067750,301,Robbery,ROBBERY - STREET,D4,171,,2018-08-24 07:40:00,2018,8,Friday,7,Part One,ALBANY ST,42.33428841,-71.07239518,"(42.33428841, -71.07239518)"
I182067713,311,Robbery,ROBBERY - COMMERCIAL,D4,145,,2018-08-24 00:52:00,2018,8,Friday,0,Part One,HUNTINGTON AVE,42.34341962,-71.083956,"(42.34341962, -71.08395600)"
I182067681,301,Robbery,ROBBERY - STREET,B3,425,,2018-08-23 21:33:00,2018,8,Thursday,21,Part One,FREMONT ST,42.27152449,-71.09295148,"(42.27152449, -71.09295148)"
I182067607,301,Robbery,ROBBERY - STREET,A7,33,,2018-08-23 18:00:00,2018,8,Thursday,18,Part One,EVERETT ST,42.36573225,-71.03064135,"(42.36573225, -71.03064135)"
I182067601,301,Robbery,ROBBERY - STREET,E18,518,,2018-08-23 16:23:00,2018,8,Thursday,16,Part One,DANA AVE,42.24894017,-71.12130622,"(42.24894017, -71.12130622)"
I182067483,301,Robbery,ROBBERY - STREET,C6,172,,2018-08-23 11:37:00,2018,8,Thursday,11,Part One,BRADSTON ST,42.332354,-71.07138696,"(42.33235400, -71.07138696)"
